Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 261,2,18245.28,38,1,2,2,18245.28,60,2,2,0,Private
Company 262,1,197943.9,44,4,4,1,197943.9,,1,1,0,Private
Company 263,1.666666667,6190,,1,1,5,18570,243,5,5,,Private
Company 264,1,9996,3,1,1,1,9996,,1,1,0,Private
Company 265,1,81070.5,,1,1,1,81070.5,,1,1,,Private
Company 266,1.5,401676,35.66666667,1,2,3,803352,101.5,3,4,0,Private
Company 267,3.2,61436.374,35.75,1.25,10,9,307181.87,93.28571429,16,20,216213,Private
Company 268,1,15225,2,1,1,1,15225,,1,1,0,Private
Company 269,1,9195,2,1,2,2,18390,986,2,2,0,Private
Company 270,4,58379.08,21,3.5,7,2,58379.08,49,4,4,0,Private
Company 271,1,19623,1,1,1,1,19623,,1,1,0,Private
Company 272,1.5,94072.65,21.25,1,4,5,376290.6,246.6,6,7,104468,Private
Company 273,1.5,32081.89,66,2,6,1,64163.78,356,3,3,0,Private
Company 274,2.5,20334.78,50,1.2,3,3,40669.56,648,5,5,0,Private
Company 275,1,54888.75,87,1,1,1,54888.75,,1,1,0,Private
Company 276,1,85249.5,27,14,14,1,85249.5,,1,1,11283,Private
Company 277,1,24596,,1,1,1,24596,,1,1,,Private
Company 278,1,10710,,1,1,1,10710,,1,1,,Private
Company 279,3,88740,52,1.333333333,3,3,88740,50,3,2,21992,Private
Company 280,1,15700,,1,1,1,15700,,1,1,,Private
Company 281,1,22407.36,18,1,2,2,44814.72,282,2,3,0,Private
Company 282,1,3202.26,,1,1,1,3202.26,,1,1,,Private
Company 283,1,495387,46,1,1,2,990774,92,2,3,198155,Private
Company 284,1,16620,,1,1,1,16620,,1,1,,Private
Company 285,1,249999.64,,1,1,1,249999.64,,1,1,,Private
Company 286,1,5040,8,1,1,1,5040,,1,1,0,Private
Company 287,1,28458,4,1,1,1,28458,,1,3,0,Private
Company 288,2,29820,1.5,1,3,4,59640,167.6666667,4,5,0,Private
Company 289,1,60657.36,,1,1,1,60657.36,,1,1,,Private
Company 290,2,34320,,1,2,1,34320,17,2,2,,Private
Company 291,1,7803,1.5,1,1,2,15606,613,2,2,0,Private
Company 292,1.25,16816.3875,,1.6,4,4,67265.55,288.25,5,5,,Private
Company 293,1,10080,1,1,1,1,10080,,1,1,0,Private
Company 294,7.5,73844.63,10.33333333,1,2,11,295378.52,48.08333333,30,31,0,Private
Company 295,1,17325,59,1,1,1,17325,,1,2,0,Private
Company 296,2,109255.78,,1,2,1,109255.78,4,2,2,,Private
Company 297,4,150211.47,9,2.25,9,3,150211.47,29.33333333,4,3,0,Private
Company 298,4,133602.5425,27.75,1.125,9,9,534410.17,86.16666667,16,20,0,Private
Company 299,2,185150,1,1,1,5,555450,160.4,6,5,0,Private
Company 300,1,54600,,1,1,1,54600,,1,1,,Private
Company 301,2,91612.5,7.25,2,2,2,91612.5,128,2,7,49025,Private
