Company Name,Average Anual Invoice,Average Anual value,Avg. Days diff,Avg. Item/Invoice,Distinct Item,Distinct Month,Gross Value HC,Inv-Pay gap,No. of Invoice,No. of Order,Pending Amount,Company Type
Company 759,1,7956,,1,1,1,7956,,1,1,,Public
Company 760,1,51188.38,,1,1,1,51188.38,,1,2,,Public
Company 761,19.8,600788.156,799.0661157,1.626262626,134,12,3003940.78,15.48913044,99,102,740932,Public
Company 762,3,24526.9,,1,2,3,24526.9,140.5,3,6,,Public
Company 763,2,830235,,1,1,2,830235,120,2,2,,Public
Company 764,3,117358.94,15.66666667,1.777777778,9,7,352076.82,168.375,9,12,57000,Public
Company 765,4,153214.3133,46.625,1.333333333,8,6,459642.94,78.3,12,16,0,Public
Company 766,1,19016,,1,1,1,19016,,1,1,,Public
Company 767,1,76469.4,14,1,1,1,76469.4,,1,1,0,Public
Company 768,2,134190,16,2,3,2,134190,66,2,2,0,Public
Company 769,1,51404.7,34.33333333,1,1,1,51404.7,,1,1,0,Public
Company 770,2,101965.2667,13.2,1,5,4,305895.8,235,6,7,11004,Public
Company 771,1.666666667,32239.16667,113.5,1,2,4,96717.5,268,5,6,0,Public
Company 772,2.333333333,25830,41,1.571428571,2,5,77490,154.1666667,7,7,0,Public
Company 773,5.6,1581715.268,71.13157895,1.357142857,20,11,7908576.34,54.28,28,48,3214108,Public
Company 774,2,43358,2.5,1.5,5,5,130074,112.2,6,7,0,Public
Company 775,1.5,47999.7,,1,1,2,95999.4,42.5,3,3,,Public
Company 776,1.666666667,433666.6667,25,1,4,4,1301000,220.75,5,5,270600,Public
Company 777,5.2,604655.906,46.57894737,1.538461538,11,10,3023279.53,65.04761905,26,32,0,Public
Company 778,2,20580,,1,2,1,20580,14,2,1,,Public
Company 779,2.333333333,78627.15,23.45454546,2,7,5,235881.45,110.8333333,7,11,0,Public
Company 780,2,24864,2,1,1,2,24864,146,2,2,0,Public
Company 781,2,24136,1,1,4,4,48272,149,4,4,0,Public
Company 782,1,126460,1,2,2,1,126460,,1,2,50000,Public
Company 783,1,262548,57,1,1,1,262548,,1,1,0,Public
Company 784,1,2544,69,1,1,1,2544,,1,1,6397,Public
Company 785,3,37980,,1,1,2,37980,33.5,3,2,,Public
Company 786,1,6470,,1,1,1,6470,,1,1,,Public
Company 787,1,93660,,2,2,1,93660,,1,1,,Public
Company 788,1.5,72586.995,,1,2,3,145173.99,218,3,3,,Public
Company 789,1,12122,17,1,1,1,12122,,1,1,0,Public
Company 790,1,6825,1,1,1,1,6825,,1,1,0,Public
Company 791,1,187466,49,4,4,1,187466,,1,1,93733,Public
Company 792,1,6195.5,,1,1,1,12391,354,2,2,,Public
Company 793,1,9858,12,1,1,1,9858,,1,1,27000,Public
Company 794,10.4,836140.492,34.56,1.653846154,13,11,4180702.46,37.5945946,52,62,113241,Public
Company 795,2,286960,32.5,1,1,2,286960,16,2,1,0,Public
Company 796,4,193785.47,120,1,4,2,193785.47,18,4,3,2760,Public
Company 797,2.333333333,131090.57,14,2.428571429,10,2,393271.71,195.5,7,6,106745,Public
Company 798,2,6803.4,3.666666667,1,1,3,13606.8,126.3333333,4,4,0,Public
Company 799,1,2694,,1,1,1,2694,,1,2,,Public
Company 800,3.25,42240.75,10.69230769,1.076923077,6,7,168963,120.8888889,13,13,17442,Public
Company 801,4,161690.26,3,5,9,1,161690.26,,4,4,36688,Public
Company 802,1,15120,5,1,1,1,15120,,1,1,0,Public
Company 803,2,17136,11,1,1,2,17136,232,2,5,0,Public
Company 804,1,16677,8,1,1,1,16677,,1,1,0,Public
Company 805,1,130520,,1,1,1,130520,,1,2,,Public
Company 806,2.5,104923.35,12,1.2,3,3,209846.7,31.75,5,8,0,Public
Company 807,1,6630,,1,1,1,6630,,1,1,,Public
Company 808,1,31500,,2,1,1,31500,,1,1,,Public
Company 809,2.8,169065.024,36.94736842,1.142857143,12,9,845325.12,101.7692308,14,14,320,Public
Company 810,1,8925,,1,1,1,8925,,1,1,,Public
Company 811,1.5,36416.5,33,5.333333333,4,3,72833,244,3,4,0,Public
Company 812,1.75,113798.425,98.14285714,1.142857143,7,6,455193.7,192.8333333,7,7,0,Public
Company 813,3,256906.16,,2,6,2,256906.16,51,3,3,,Public
Company 814,1.5,128973.455,,2,6,2,257946.91,436,3,5,,Public
Company 815,3.5,188164.5,19.85714286,1.428571429,6,6,376329,86.83333333,7,7,0,Public
Company 816,1.5,312831.75,19.33333333,2,6,3,625663.5,154.5,3,3,0,Public
Company 817,3.5,1360431.39,265.5,3.571428571,23,3,2720862.78,51.4,7,3,1637598,Public
Company 818,1,12695,,2,2,1,12695,,1,1,,Public
Company 819,1,11148,,1.5,2,2,22296,325,2,3,,Public
Company 820,1,46920,,1,1,1,46920,,1,1,,Public
Company 821,1,183600,49,7,7,1,183600,,1,,91800,Public
Company 822,1,44571.96,34.5,4,4,1,44571.96,,1,1,0,Public
Company 823,1,16714.95,4,2,2,1,16714.95,,1,1,0,Public
Company 824,1,12720,,1,1,1,12720,,1,1,,Public
Company 825,1,14887.7,,1,1,1,14887.7,,1,1,,Public
Company 826,1,17955,,1,1,1,17955,,1,1,,Public
Company 827,1,6409.063333,2.5,1.333333333,3,3,19227.19,563.5,3,3,0,Public
Company 828,1,2520,4,1,1,1,2520,,1,1,0,Public
Company 829,1,33356.25,6,1,1,1,33356.25,,1,1,0,Public
Company 830,3.5,262483.23,1,1.571428571,6,4,524966.46,84.6,7,7,100000,Public
Company 831,1,5760,,1,1,1,5760,,1,1,,Public
Company 832,1,34289.5,1,1,2,2,68579,82,2,2,0,Public
Company 833,1,4457.4,,1,1,1,4457.4,,1,1,,Public
Company 834,2.5,373246.05,7.4,1,4,3,746492.1,307.75,5,5,0,Public
Company 835,1.666666667,17324,25,1.2,2,5,51972,295.75,5,5,11800,Public
Company 836,1,21630,,1,1,1,21630,,1,1,,Public
Company 837,1,114660,22,1,1,1,114660,,1,1,57330,Public
Company 838,1.75,168719.925,6.666666667,2.857142857,6,4,674879.7,188.5,7,10,0,Public
Company 839,1,2520,3,1,1,1,2520,,1,2,0,Public
Company 840,1,8686,,1.5,3,2,17372,812,2,2,,Public
Company 841,1,2520,,1,1,1,2520,,1,1,,Public
Company 842,1,4080,13,1,1,1,4080,,1,1,0,Public
Company 843,1,11375,,2,2,1,11375,,1,1,,Public
Company 844,1,21624,1,1,1,1,21624,,1,1,21522,Public
Company 845,1,17160,,1,1,1,17160,,1,1,,Public
Company 846,1,6446.795,28,5.5,1,2,12893.59,540,2,2,0,Public
Company 847,4,246770.08,,1,3,1,246770.08,,4,7,,Public
Company 848,1.75,173754.225,12.2,1,6,6,695016.9,181.1666667,7,8,0,Public
Company 849,2,43250.55,21,1.5,6,4,86501.1,307.6666667,4,5,0,Public
Company 850,1,83450.5,,2,2,1,83450.5,,1,1,,Public
Company 851,1,56700,,1,1,1,56700,,1,1,,Public
Company 852,1.333333333,66685.10667,28.6,1,3,4,200055.32,216.3333333,4,7,139500,Public
Company 853,1,8820,,2,2,1,8820,,1,1,,Public
Company 854,1,2520,18,1,1,1,2520,,1,1,0,Public
Company 855,1,2520,,1,1,1,2520,,1,1,,Public
Company 856,3.5,38223.52,,1.428571429,4,4,76447.04,76.75,7,7,,Public
Company 857,5.6,297031.704,20.11111111,1.571428571,24,9,1485158.52,71.15789474,28,36,64883,Public
Company 858,1.333333333,8818,,1,2,3,26454,367.3333333,4,4,,Private
Company 859,1,140936.25,6,4,4,1,140936.25,,1,1,26010,Partnership
Company 860,2,80080.89,8,2.5,5,1,80080.89,,2,2,0,Public
Company 861,3,142025.95,64.66666667,4,12,2,142025.95,77,3,2,20977,Private
Company 862,2,54923.925,,1.5,4,3,109847.85,32,4,3,,Partnership
Company 863,1,31918,,2,2,1,31918,,1,1,,Public
Company 864,1,5486.25,,1,1,1,5486.25,,1,1,,Private
Company 865,2,76451.55,,3,3,2,76451.55,60,2,2,,Partnership
Company 866,6,57892.54,2,2,7,3,57892.54,27.75,6,6,0,Public
Company 867,3,112716.495,57.83333333,1.333333333,5,6,225432.99,181,6,6,0,Private
Company 868,2,15750,2,1,1,2,15750,12,2,1,0,Partnership
Company 869,1,2820,,1,1,1,2820,,1,1,,Public
Company 870,4.8,331284.322,22.87878788,1.125,11,10,1656421.61,60.9,24,27,175263,Private
Company 871,1.5,54337.5,53,1,3,2,108675,468,3,3,0,Partnership
Company 872,17.8,1441328.374,57.28181818,1.404494382,25,12,7206641.87,20.43478261,89,102,0,Public
Company 873,3,149362.5,,1,2,2,149362.5,50,3,3,,Private
Company 874,1.666666667,38731.37667,37,2,10,3,116194.13,408.6666667,5,5,653.15,Partnership
Company 875,1,75607.5,34,2,2,1,75607.5,,1,1,0,Public
Company 876,1,44940,,1,1,1,44940,,1,1,,Private
Company 877,3,325667.9975,2,1.916666667,16,6,1302671.99,173.7142857,12,12,0,Partnership
Company 878,3,44544.25,57.5,1.5,2,4,89088.5,77.2,6,7,0,Public
Company 879,1,86731.58,44.5,2.5,4,2,173463.16,1161,2,2,74899,Private
Company 880,1,165444,5,3,4,3,496332,284.5,3,3,245733,Partnership
Company 881,1.5,206091.68,30,1,2,2,412183.36,178,3,3,0,Public
Company 882,5,377743.356,44.53846154,1.28,13,11,1888716.78,54.5,25,31,80325,Private
Company 883,1.5,25551.275,42.8,2.666666667,6,1,51102.55,1112,3,4,0,Partnership
Company 884,1,1415.73,,2,1,1,1415.73,,1,1,,Public
Company 885,2.5,331197.125,9.666666667,2.8,9,4,662394.25,180,5,7,0,Private
Company 886,3,129215.2667,17.5,1.333333333,9,7,387645.8,151.7142857,9,10,4500,Partnership
Company 887,1,14726.25,,1.5,2,2,29452.5,629,2,2,,Public
Company 888,1,63724.5,27.6,1,2,2,127449,253,2,4,0,Private
Company 889,1,3921.36,48,5,1,1,3921.36,,1,1,0,Partnership
Company 890,2,19925.23,3,3.5,7,1,19925.23,,2,2,0,Public
Company 891,2,163771.2,15.33333333,1,2,4,327542.4,184.6666667,4,4,0,Private
Company 892,3,231784.7,40.08695652,1.266666667,11,9,1158923.5,100.4285714,15,34,912025,Partnership
Company 893,1.333333333,25757.65,21.6,1.25,5,4,77272.95,428.6666667,4,4,0,Public
Company 894,2,243043.92,108,1.5,2,2,243043.92,73,2,3,0,Private
Company 895,1,46103.5,,3,3,1,46103.5,,1,1,,Partnership
Company 896,1,2520,,2,4,2,5040,278,2,2,,Private
Company 897,3,62342.61,25,2.333333333,7,3,62342.61,78.5,3,10,0,Partnership
Company 898,11.33333333,380258.9733,37.55,1.764705882,26,6,1140776.92,40.15,34,37,154580,Private
Company 899,2.5,1266723,62,1,4,3,2533446,82.25,5,5,0,Partnership
Company 900,2,8820,34,1.5,3,1,8820,13,2,2,210,Private
Company 901,1,4157.26,51,3,1,1,4157.26,,1,1,0,Partnership
Company 902,1,4961.25,8,1,1,2,9922.5,520,2,2,0,Private
Company 903,2,4499.29,,1,2,1,4499.29,,2,2,,Partnership
Company 904,1,2142,,1,1,1,2142,,1,1,,Private
Company 905,1,26556.31,46,1,2,2,53112.62,1184,2,3,0,Partnership
Company 906,1,6465.42,,2,2,1,6465.42,,1,1,,Private
Company 907,3.2,81701.112,45.83333333,1.5625,17,7,408505.56,133,16,17,0,Partnership
Company 908,1,23919.45,,1.5,3,2,47838.9,720,2,2,,Private
Company 909,1.5,10817,2,1.666666667,3,2,21634,176.5,3,3,0,Partnership
Company 910,1,29190,,1,1,1,29190,,1,1,,Private
Company 911,1,68994,41,1,1,1,68994,,1,1,0,Partnership
Company 912,1,8662.5,14.5,1,1,1,8662.5,,1,1,8663,Private
Company 913,2,9593.065,39,1,3,3,19186.13,141,4,4,0,Partnership
Company 914,11.4,1200344.146,52.86046512,1.719298246,24,11,6001720.73,30.10638298,57,59,164580,Private
Company 915,3,185941.875,42.66666667,1.666666667,8,4,371883.75,89.5,6,5,0,Partnership
Company 916,2,352609.96,59.6,1,3,3,705219.92,38.66666667,4,6,0,Private
Company 917,1,20433,68,1,1,1,20433,,1,1,0,Private
Company 918,1,28665,,1,1,1,28665,,1,1,,Private
Company 919,1,10332,,1,1,1,10332,,1,1,,Private
Company 920,3,3944.48,17,1,2,2,3944.48,119,3,3,416,Private
Company 921,1,21420,,1,1,1,21420,,1,1,,Private
Company 922,2.5,66940.06,,1,3,5,133880.12,76.75,5,8,,Private
Company 923,1,4830,3,1,1,1,4830,,1,1,0,Private
Company 924,1,251420,,1,1,1,251420,,1,1,,Private
Company 925,1,5088,1.5,1,1,1,5088,,1,2,0,Private
Company 926,1.333333333,3893.666667,,1.75,6,4,11681,151.3333333,4,4,,Private
Company 927,1,36750,,1,1,1,36750,,1,1,,Private
Company 928,1,2448,8,1,1,1,2448,,1,1,0,Private
Company 929,1,6225,,1,1,1,6225,,1,1,,Private
Company 930,1,33075,,4,4,1,33075,,1,2,,Private
Company 931,1.333333333,17325,2.333333333,1.5,3,3,51975,194.3333333,4,6,0,Private
Company 932,2,106609.64,,2,4,1,106609.64,,2,3,,Private
Company 933,1.5,55245.185,25.66666667,5,14,2,110490.37,787,3,3,50000,Private
Company 934,1,24627.7,,1.5,5,3,98510.8,423.3333333,4,5,,Private
Company 935,1,18990,,1,2,2,37980,499,2,2,,Private
Company 936,3,81881.59667,25.33333333,1.666666667,11,6,245644.79,141.5,9,10,147873.84,Private
Company 937,2.5,76808.98,10,1,6,6,307235.92,177.25,10,14,34629,Private
Company 938,1,8783.25,,1,1,2,17566.5,896,2,3,,Private
Company 939,3,56112.75,,1,2,3,56112.75,19,3,1,,Private
Company 940,1,6249.6,,1,1,1,6249.6,,1,1,,Private
Company 941,1,11499.6,,1,1,1,11499.6,,1,1,,Private
Company 942,1,5040,1,1,1,1,5040,,1,1,0,Private
Company 943,1,2520,1,1,1,1,2520,,1,2,0,Private
Company 944,1,12240,,1,1,1,12240,,1,1,,Private
Company 945,2,9870,55,1.5,3,2,9870,34,2,2,0,Private
Company 946,1.5,114575,9,1.666666667,5,2,229150,449,3,3,0,Private
Company 947,1,204670,29,1,1,1,204670,,1,1,203700,Private
Company 948,1,43457.2,,2,2,1,43457.2,,1,1,,Private
Company 949,2,67705.37,,1.5,3,1,67705.37,,2,2,,Private
Company 950,1,22595,2.5,1,2,2,45190,672,2,3,0,Private
Company 951,11,3399260.11,54.4520548,1.963636364,52,10,16996300.55,33.875,55,60,23105924,Private
Company 952,1,16394.4,53,1,1,1,16394.4,,1,1,0,Private
Company 953,1.5,47853.75,2,1.333333333,4,3,95707.5,136,3,3,0,Private
Company 954,2.25,62924.31,13.75,3.777777778,17,7,251697.24,154,9,10,160964,Private
Company 955,1,6470,,1,1,1,6470,,1,1,,Private
Company 956,1.5,93445.545,37,3.666666667,8,3,186891.09,272.5,3,3,0,Public
Company 957,3,2209270.38,55,1.333333333,6,5,4418540.76,129.75,6,8,746325,Public
Company 958,1,107626.0567,,1,2,2,322878.17,415,3,3,,Public
Company 959,1,2544,,1,1,1,2544,,1,1,,Public
Company 960,1,892454.85,164,6,6,1,892454.85,,1,3,0,Public
Company 961,1,537274.5,64,8,8,1,537274.5,,1,1,0,Public
Company 962,4,262607.26,77.375,9.625,70,3,525214.52,107.6,8,13,0,Public
Company 963,1.5,502415.805,61,1,3,2,1004831.61,95,3,3,0,Public
Company 964,2,103164.13,40,11.5,23,1,103164.13,,2,2,0,Public
Company 965,1,1087.75,43,1,1,1,1087.75,,1,1,0,Public
Company 966,1,11781,28,1,1,1,11781,,1,1,0,Public
Company 967,1,1448500.2,35,12,12,1,1448500.2,,1,,0,Public
Company 968,1,5873.44,,1,2,2,11746.88,287,2,2,,Public
Company 969,1,21848.4,45,1,1,1,21848.4,,1,3,0,Public
Company 970,1,59156.5,8,1.5,3,2,118313,309,2,2,0,Public
Company 971,1.333333333,135127.05,34,1.75,7,4,405381.15,206,4,7,0,Public
Company 972,1,2744,,1,1,1,2744,,1,1,,Public
Company 973,1,10732,1,1,3,3,32196,580.5,3,3,0,Public
Company 974,1.75,259241.25,15.2,1.142857143,6,4,1036965,214.6,7,7,51000,Public
Company 975,1,33292.8,,1,1,1,33292.8,,1,1,,Public
Company 976,1,1858.5,,1,1,1,1858.5,,1,1,,Public
Company 977,1,12998.25,,1,2,2,25996.5,251,2,3,,Public
Company 978,1,5250,9,1,1,1,5250,,1,3,0,Public
Company 979,5.5,277463.98,2.666666667,1.545454545,9,7,554927.96,46.33333333,11,14,0,Public
Company 980,3,103452.72,44,1,3,3,103452.72,29,3,3,6386,Public
Company 981,1,38760,94,1,1,1,38760,,1,2,0,Public
Company 982,1.5,65164.91,,2,6,2,130329.82,803,3,3,,Public
Company 983,2,108610,59.5,2,7,3,325830,213.3333333,6,7,0,Public
Company 984,1.666666667,88549.5,38.45454546,2.2,7,4,265648.5,214,5,11,5941.25,Public
Company 985,1.333333333,74888.4,33.6,2.5,8,4,224665.2,283.6666667,4,7,21579,Public
Company 986,1.5,36159.555,47.25,2,6,1,72319.11,185.5,3,5,0,Public
Company 987,1,47478.5,48.5,2,2,2,94957,242,2,2,0,Public
Company 988,1.333333333,126387.7133,,1,2,4,379163.14,224,4,4,,Public
Company 989,3,480304.2167,20,3.333333333,25,5,1440912.65,108.25,9,12,362047,Public
Company 990,1,69615,42.5,1,1,1,69615,,1,2,0,Public
Company 991,1,17686.975,40.66666667,1,1,2,35373.95,953,2,2,0,Public
Company 992,1,2448,,1,1,1,2448,,1,1,,Public
Company 993,1,280350,13,1,1,1,280350,,1,1,0,Public
Company 994,2.5,110562.9,37.2,7.8,27,3,221125.8,396,5,7,57011,Public
Company 995,1,2471.92,33,4.5,1,2,4943.84,338,2,2,0,Public
Company 996,2,16605.98,,1,2,4,33211.96,45.33333333,4,4,,Public
Company 997,1,2544,4,1,1,1,2544,,1,1,0,Public
Company 998,1.333333333,8115.5,2,1,2,2,24346.5,327,4,4,0,Public
Company 999,1,10200,,1,1,1,10200,,1,1,,Public
Company 1000,1,41600,57,1,1,1,41600,,1,1,0,Public
Company 1001,1,5960,,1,1,1,5960,,1,1,,Public
Company 1002,2,41784.625,8,1.5,3,2,83569.25,390,4,4,0,Public
Company 1003,2,110476.16,,1.5,3,1,110476.16,,2,2,,Private
Company 1004,1,2520,2,1,1,1,2520,,1,1,0,Private
Company 1005,2,100980,,1,2,2,100980,43,2,2,,Public
Company 1006,1,12396.25,,1,1,1,12396.25,,1,1,,Public
Company 1007,2,91140,,1,1,1,91140,11,2,2,,Public
Company 1008,1,57052.8,9,1,2,2,114105.6,670,2,3,0,Partnership
Company 1009,1,25219.5,2,1,2,2,50439,412,2,2,0,Public
Company 1010,1.75,25783.2775,51.14285714,1.285714286,7,6,103133.11,242.6,7,9,6222,Private
Company 1011,2,0,,1,1,2,0,31,2,2,,Partnership
Company 1012,1,2544,3,1,1,1,2544,,1,1,0,Public
Company 1013,1.5,60235.7875,38.66666667,1.666666667,9,5,240943.15,271.8,6,6,0,Private
Company 1014,1,26673,,2,2,1,26673,,1,1,,Private
Company 1015,1,121432.48,30,1.5,3,1,242864.96,1079,2,2,0,Private
Company 1016,1,3930,4,1,1,2,7860,274,2,2,0,Private
Company 1017,2,94500,9,1,1,2,94500,84,2,2,25000,Private
Company 1018,1,1499.6,88,1,1,1,1499.6,,1,1,0,Private
Company 1019,1,57889.92,,1,1,1,57889.92,,1,1,,Private
Company 1020,1,2520,4,1,1,1,2520,,1,1,0,Private
Company 1021,1.666666667,16380,2.333333333,1,2,5,49140,191.5,5,6,0,Private
Company 1022,1,30954,,1,1,1,30954,,1,1,,Private
Company 1023,1.8,993519.372,70.57894737,1.888888889,12,5,4967596.86,155.625,9,12,4317191,Private
Company 1024,3,110466,35.875,1,2,3,220932,63.2,6,7,1753400,Private
Company 1025,2,5190,2,1,1,2,5190,250,2,2,0,Private
Company 1026,3,25353.4475,25.75,2.416666667,16,6,101413.79,167.4285714,12,12,0,Private
Company 1027,1,9122.4,,1,1,2,18244.8,1046,2,2,,Private
Company 1028,1,2835,11,1,1,1,2835,,1,1,150000,Private
Company 1029,1.5,46762.75,121.625,1,5,6,187051,242,6,6,439920,Private
Company 1030,1,6772.5,,1,1,1,6772.5,,1,1,,Private
Company 1031,2,33292.8,2,1,1,2,33292.8,87,2,2,4896,Private
Company 1032,2,7948,7.5,1,1,2,7948,63,2,4,0,Private
Company 1033,4,5424971.42,47.33333333,2,4,2,5424971.42,13.5,4,10,0,Private
Company 1034,1,9455.4,3,2,2,1,9455.4,,1,1,0,Private
Company 1035,3,129075.25,36.57142857,1.333333333,9,8,516301,102.0909091,12,14,0,Private
Company 1036,1,7000,,1,1,1,7000,,1,1,,Private
Company 1037,1,2520,3,1,1,1,2520,,1,1,0,Private
Company 1038,2,6630,5,1,2,2,6630,103,2,2,0,Private
Company 1039,13.8,784284.716,17,1.550724638,28,12,3921423.58,29,69,80,53216,Private
Company 1040,1,10388,1,1,1,1,10388,,1,1,0,Private
Company 1041,1,51923.71,41.85714286,1,4,4,207694.84,346.3333333,4,6,48533,Private
Company 1042,1,34761.6,20.5,1.333333333,4,2,104284.8,560.5,3,3,0,Private
Company 1043,1.333333333,13733.66667,35.25,1.25,4,4,41201,225.3333333,4,4,0,Private
Company 1044,1,7560,,1,1,1,7560,,1,1,,Private
Company 1045,2.25,358174.555,72.5,2.777777778,18,4,1432698.22,191.5,9,9,0,Private
Company 1046,2,168277.3125,60.18181818,1.5,11,6,673109.25,190.1666667,8,8,6698,Private
Company 1047,1,16978.5,111,1,1,1,16978.5,,1,1,0,Private
Company 1048,2,24453.83333,,1.333333333,6,6,73361.5,210,6,7,,Private
Company 1049,2,82620,3,2.5,5,2,82620,200,2,4,0,Private
Company 1050,2,367152.2,108.5,2.75,7,3,734304.4,471,4,4,0,Private
Company 1051,2,21879,,1,1,2,21879,84,2,1,,Private
Company 1052,7.666666667,311152.0633,51.92307692,1.130434783,8,9,933456.19,42.61111111,23,31,0,Private
Company 1053,1,10145,,1,1,1,10145,,1,1,,Private
Company 1054,3.5,1033668,54,1.857142857,2,3,2067336,101,7,3,0,Private
Company 1055,1,8999.97,,1,1,1,8999.97,,1,1,,Private
Company 1056,2.666666667,221731.2367,7.5,1.375,4,7,665193.71,107.5714286,8,12,6809,Private
Company 1057,1,2528,3.666666667,1,1,3,7584,486,3,5,0,Private
Company 1058,1.5,582966,43,7.666666667,23,2,1165932,140,3,4,385875,Private
Company 1059,1,44308,,2,2,1,44308,,1,1,,Private
Company 1060,1.5,55798.24,10,1.666666667,2,3,111596.48,282,3,3,1,Private
Company 1061,1,99960,14,1,1,1,99960,,1,1,49000,Private
Company 1062,2,21168.53,66,2,4,1,21168.53,,2,2,16935,Private
Company 1063,2,152099.34,55.66666667,1.5,5,4,304198.68,159,4,4,0,Private
Company 1064,1,12177.63,48,1,1,1,12177.63,,1,1,0,Private
Company 1065,1,2598,24,1,1,1,2598,,1,1,0,Private
Company 1066,1.5,23262.75,2.5,1,2,3,46525.5,388,3,3,0,Private
Company 1067,2,41648.28,,1.5,3,1,41648.28,,2,3,,Private
Company 1068,60,10552332.67,74.03631961,1.556666667,110,12,52761663.36,7.314720812,300,411,6874928,Private
Company 1069,1,16170,64,1,1,1,16170,,1,1,0,Private
Company 1070,1,19267.5,69,2,2,1,19267.5,,1,1,0,Private
Company 1071,3,136475.15,46.97297297,1.266666667,13,9,682375.75,110.8333333,15,30,0,Private
Company 1072,1,76972.8,50,1,1,1,76972.8,,1,1,0,Private
Company 1073,2.5,62971.125,48.66666667,1.6,6,4,125942.25,142.5,5,5,0,Private
Company 1074,1,10245,3,1,1,1,10245,,1,1,0,Private
Company 1075,4.5,516810,1.5,1.888888889,8,5,1033620,53.125,9,7,0,Private
Company 1076,1,105427.2,50.5,2,4,2,210854.4,642,2,2,0,Private
Company 1077,1,31747,,3,3,1,31747,,1,1,,Private
Company 1078,4.4,98968.7,20.92307692,1,4,10,494843.5,73.36842105,22,26,54415,Private
Company 1079,1,2720,,1,1,1,2720,,1,1,,Private
Company 1080,1,20431.5,,3,3,1,20431.5,,1,1,,Private
Company 1081,1,20346,,1,1,1,20346,,1,1,,Private
Company 1082,2,148229.525,4.666666667,2.25,6,7,592918.1,129.5714286,8,9,0,Private
Company 1083,1.5,132234.76,38.5,2.666666667,8,2,264469.52,368,3,3,159662,Private
Company 1084,1,3587,23,1,1,1,3587,,1,1,0,Private
Company 1085,2,45756.345,37,1.25,3,3,91512.69,212,4,5,0,Private
Company 1086,1,61861.05,43,1,2,3,185583.15,423.5,3,4,0,Private
Company 1087,3.5,648882.37,76.125,1.714285714,10,4,1297764.74,104,7,8,167155,Private
Company 1088,2,118575,13,1,1,1,118575,,2,2,0,Private
Company 1089,1.5,23446.475,8.333333333,2,4,2,46892.95,740,3,4,0,Private
Company 1090,1,8396.76,,2,2,1,8396.76,,1,1,,Private
Company 1091,15.2,2026136.54,38.05479452,1.552631579,38,12,10130682.7,22.421875,76,64,54109,Private
Company 1092,1,11260.19,,1,1,1,11260.19,,1,1,,Private
Company 1093,1,45084,11,1,1,1,45084,,1,2,0,Private
Company 1094,2.25,1083959.255,23.33333333,2.555555556,12,4,4335837.02,139.1666667,9,12,532480.25,Private
Company 1095,1,10292,,1,1,1,10292,,1,1,,Private
Company 1096,2.25,79815.355,176,1,6,7,319261.42,159.125,9,10,10920,Private
Company 1097,1,75900,109,8,1,1,75900,,1,1,11264,Private
Company 1098,1,14662.98,28,8,1,1,14662.98,,1,1,0,Private
Company 1099,1,115696.35,10.5,1,1,2,231392.7,106,2,2,29400,Private
Company 1100,2,42731.85,,1,2,2,42731.85,105,2,2,,Private
Company 1101,2,279786,5.7,1,3,3,839358,215.5,6,10,35400,Private
Company 1102,1,12668.4,5,1,1,1,12668.4,,1,1,0,Private
Company 1103,2,18868.5,,2,4,2,18868.5,10,2,2,,Private
Company 1104,1,16563.75,9,3,3,1,16563.75,,1,1,0,Private
Company 1105,3,758100,,5,5,3,758100,53,3,4,,Private
Company 1106,1,74508,2.5,1,1,1,149016,379,2,5,38240.5,Private
Company 1107,2,39086.4,,1,2,1,39086.4,12,2,3,,Private
Company 1108,3.333333333,320415.3633,57.53846154,1,1,8,961246.09,63,10,10,0,Private
Company 1109,1,4389,3,1,1,1,4389,,1,2,0,Private
Company 1110,1.666666667,1015941.5,249.1666667,1,4,3,3047824.5,580.5,5,9,112621,Private
Company 1111,1,11951,2.333333333,1,2,3,35853,448,3,5,0,Private
Company 1112,1,2346,8.5,1,1,2,4692,637,2,2,0,Private
Company 1113,5.6,3213481.654,61.60869565,4.392857143,38,10,16067408.27,68.95,28,34,14437698,Private
Company 1114,1,16590,,1,1,1,16590,,1,1,,Private
Company 1115,1.4,13357.2,,1,1,5,66786,204.8333333,7,9,,Private
Company 1116,1,70470.75,,2,2,1,70470.75,,1,1,,Private
Company 1117,1,6826.86,14,1,1,1,6826.86,,1,1,0,Private
Company 1118,2,31964.62,,1,1,2,31964.62,98,2,2,,Private
Company 1119,1,75188.53,,1,1,1,75188.53,,1,1,,Private
Company 1120,1.5,35030.4,3,1.333333333,4,3,70060.8,293,3,3,0,Private
Company 1121,2.25,231994.5,4,1.666666667,12,6,927978,129.75,9,14,0,Private
Company 1122,5,357139.125,5.5,1.3,5,6,714278.25,85.28571429,10,10,171429,Private
Company 1123,1,98028.8,57,1,1,1,98028.8,,1,1,0,Private
Company 1124,1,1260,,1,1,1,1260,,1,1,,Private
Company 1125,4,280047.55,103.5,1,1,1,280047.55,,4,4,7157,Private
Company 1126,2,5064,,1,1,2,5064,34,2,2,,Private
Company 1127,1,25830,50,1,1,1,25830,,1,1,0,Private
Company 1128,1,58830,49,2,2,1,58830,,1,1,0,Private
Company 1129,1.5,133482.15,34.5,2,6,3,266964.3,408.5,3,4,0,Private
